camera,status,num_composition,num_compostition_camera,last_time_check_on_camera,last_lat_on_camera,last_lon_on_camera,vendor
ff_ngpt_tram_vitaz_31001_1,-,31001,1,,,,
ff_ngpt_tram_vitaz_31001_2,-,31001,2,,,,
ff_ngpt_tram_vitaz_31001_3,-,31001,3,,,,
ff_ngpt_tram_vitaz_31001_4,-,31001,4,,,,
ff_ngpt_tram_vitaz_31001_5,-,31001,5,,,,
ff_ngpt_tram_vitaz_31001_6,-,31001,6,,,,
ff_ngpt_tram_vitaz_31002_1,-,31002,1,,,,
ff_ngpt_tram_vitaz_31002_2,-,31002,2,,,,
ff_ngpt_tram_vitaz_31002_3,-,31002,3,,,,
ff_ngpt_tram_vitaz_31002_4,-,31002,4,,,,
ff_ngpt_tram_vitaz_31002_5,-,31002,5,,,,
ff_ngpt_tram_vitaz_31002_6,-,31002,6,,,,
ff_ngpt_tram_vitaz_31003_1,-,31003,1,,,,
ff_ngpt_tram_vitaz_31003_2,-,31003,2,,,,
ff_ngpt_tram_vitaz_31003_3,-,31003,3,,,,
ff_ngpt_tram_vitaz_31003_4,-,31003,4,,,,
ff_ngpt_tram_vitaz_31003_5,-,31003,5,,,,
ff_ngpt_tram_vitaz_31003_6,-,31003,6,,,,
ff_ngpt_tram_vitaz_31004_1,-,31004,1,,,,
ff_ngpt_tram_vitaz_31004_2,-,31004,2,,,,
ff_ngpt_tram_vitaz_31004_3,-,31004,3,,,,
ff_ngpt_tram_vitaz_31004_4,-,31004,4,,,,
ff_ngpt_tram_vitaz_31004_5,-,31004,5,,,,
ff_ngpt_tram_vitaz_31004_6,-,31004,6,,,,
ff_ngpt_tram_vitaz_31005_1,-,31005,1,,,,
ff_ngpt_tram_vitaz_31005_2,-,31005,2,,,,
ff_ngpt_tram_vitaz_31005_3,-,31005,3,,,,
ff_ngpt_tram_vitaz_31005_4,-,31005,4,,,,
ff_ngpt_tram_vitaz_31005_5,-,31005,5,,,,
ff_ngpt_tram_vitaz_31005_6,-,31005,6,,,,
ff_ngpt_tram_vitaz_31006_1,-,31006,1,,,,
ff_ngpt_tram_vitaz_31006_2,-,31006,2,,,,
ff_ngpt_tram_vitaz_31006_3,-,31006,3,,,,
ff_ngpt_tram_vitaz_31006_4,-,31006,4,,,,
ff_ngpt_tram_vitaz_31006_5,-,31006,5,,,,
ff_ngpt_tram_vitaz_31006_6,-,31006,6,,,,
ff_ngpt_tram_vitaz_31007_1,-,31007,1,,,,
ff_ngpt_tram_vitaz_31007_2,-,31007,2,,,,
ff_ngpt_tram_vitaz_31007_3,-,31007,3,,,,
ff_ngpt_tram_vitaz_31007_4,-,31007,4,,,,
ff_ngpt_tram_vitaz_31007_5,-,31007,5,,,,
ff_ngpt_tram_vitaz_31007_6,-,31007,6,,,,
ff_ngpt_tram_vitaz_31008_1,-,31008,1,,,,
ff_ngpt_tram_vitaz_31008_2,-,31008,2,,,,
ff_ngpt_tram_vitaz_31008_3,-,31008,3,,,,
ff_ngpt_tram_vitaz_31008_4,-,31008,4,,,,
ff_ngpt_tram_vitaz_31008_5,-,31008,5,,,,
ff_ngpt_tram_vitaz_31008_6,-,31008,6,,,,
ff_ngpt_tram_vitaz_31009_1,-,31009,1,,,,
ff_ngpt_tram_vitaz_31009_2,-,31009,2,,,,
ff_ngpt_tram_vitaz_31009_3,-,31009,3,,,,
ff_ngpt_tram_vitaz_31009_4,-,31009,4,,,,
ff_ngpt_tram_vitaz_31009_5,-,31009,5,,,,
ff_ngpt_tram_vitaz_31009_6,-,31009,6,,,,
ff_ngpt_tram_vitaz_31010_1,-,31010,1,,,,
ff_ngpt_tram_vitaz_31010_2,-,31010,2,,,,
ff_ngpt_tram_vitaz_31010_3,-,31010,3,,,,
ff_ngpt_tram_vitaz_31010_4,-,31010,4,,,,
ff_ngpt_tram_vitaz_31010_5,-,31010,5,,,,
ff_ngpt_tram_vitaz_31010_6,-,31010,6,,,,
ff_ngpt_tram_vitaz_31011_1,-,31011,1,,,,
ff_ngpt_tram_vitaz_31011_2,-,31011,2,,,,
ff_ngpt_tram_vitaz_31011_3,-,31011,3,,,,
ff_ngpt_tram_vitaz_31011_4,-,31011,4,,,,
ff_ngpt_tram_vitaz_31011_5,-,31011,5,,,,
ff_ngpt_tram_vitaz_31011_6,-,31011,6,,,,
ff_ngpt_tram_vitaz_31012_1,-,31012,1,,,,
ff_ngpt_tram_vitaz_31012_2,-,31012,2,,,,
ff_ngpt_tram_vitaz_31012_3,-,31012,3,,,,
ff_ngpt_tram_vitaz_31012_4,-,31012,4,,,,
ff_ngpt_tram_vitaz_31012_5,-,31012,5,,,,
ff_ngpt_tram_vitaz_31012_6,-,31012,6,,,,
ff_ngpt_tram_vitaz_31013_1,-,31013,1,,,,
ff_ngpt_tram_vitaz_31013_2,-,31013,2,,,,
ff_ngpt_tram_vitaz_31013_3,-,31013,3,,,,
ff_ngpt_tram_vitaz_31013_4,-,31013,4,,,,
ff_ngpt_tram_vitaz_31013_5,-,31013,5,,,,
ff_ngpt_tram_vitaz_31013_6,-,31013,6,,,,
ff_ngpt_tram_vitaz_31014_1,-,31014,1,,,,
ff_ngpt_tram_vitaz_31014_2,-,31014,2,,,,
ff_ngpt_tram_vitaz_31014_3,-,31014,3,,,,
ff_ngpt_tram_vitaz_31014_4,-,31014,4,,,,
ff_ngpt_tram_vitaz_31014_5,-,31014,5,,,,
ff_ngpt_tram_vitaz_31014_6,-,31014,6,,,,
ff_ngpt_tram_vitaz_31015_1,-,31015,1,,,,
ff_ngpt_tram_vitaz_31015_2,-,31015,2,,,,
ff_ngpt_tram_vitaz_31015_3,-,31015,3,,,,
ff_ngpt_tram_vitaz_31015_4,-,31015,4,,,,
ff_ngpt_tram_vitaz_31015_5,-,31015,5,,,,
ff_ngpt_tram_vitaz_31015_6,-,31015,6,,,,
ff_ngpt_tram_vitaz_31016_1,-,31016,1,,,,
ff_ngpt_tram_vitaz_31016_2,-,31016,2,,,,
ff_ngpt_tram_vitaz_31016_3,-,31016,3,,,,
ff_ngpt_tram_vitaz_31016_4,-,31016,4,,,,
ff_ngpt_tram_vitaz_31016_5,-,31016,5,,,,
ff_ngpt_tram_vitaz_31016_6,-,31016,6,,,,
ff_ngpt_tram_vitaz_31017_1,-,31017,1,,,,
ff_ngpt_tram_vitaz_31017_2,-,31017,2,,,,
ff_ngpt_tram_vitaz_31017_3,-,31017,3,,,,
ff_ngpt_tram_vitaz_31017_4,-,31017,4,,,,
ff_ngpt_tram_vitaz_31017_5,-,31017,5,,,,
ff_ngpt_tram_vitaz_31017_6,-,31017,6,,,,
ff_ngpt_tram_vitaz_31018_1,-,31018,1,,,,
ff_ngpt_tram_vitaz_31018_2,-,31018,2,,,,
ff_ngpt_tram_vitaz_31018_3,-,31018,3,,,,
ff_ngpt_tram_vitaz_31018_4,-,31018,4,,,,
ff_ngpt_tram_vitaz_31018_5,-,31018,5,,,,
ff_ngpt_tram_vitaz_31018_6,-,31018,6,,,,
ff_ngpt_tram_vitaz_31019_1,-,31019,1,,,,
ff_ngpt_tram_vitaz_31019_2,-,31019,2,,,,
ff_ngpt_tram_vitaz_31019_3,-,31019,3,,,,
